"Loc","Loc Zn","Loc Name","Loc Purp Desc","Loc/QTI","Flow Ind","DC","OPC","TSQ","OAC","IT","Auth Overrun Ind","Nom Cap Exceed Ind","All Qty Avail","Qty Reason"
"79029","CENTRAL","DCP FUEL TAP EDDY","MQ","DPQ","D","1000","1500","197","1303","Y","N","N","Y",""
"500262","WEST TEXAS","DCP HAT MESA","M2","RPQ","R","5000","5000","0","5000","N","N","N","Y",""
"500255","WEST TEXAS","DCP Madera","M2","RPQ","R","5000","11000","0","11000","N","N","N","Y",""
"79070","WEST TEXAS","DCP OCHOA I/C","MQ","DPQ","D","1000","1000","0","1000","N","N","N","Y",""
"500248","WEST TEXAS","DCP PURE GOLD","M2","RPQ","R","5000","5000","0","5000","N","N","N","Y",""
"79069","CENTRAL","DCP ZIA II","M2","RPQ","R","125000","125000","56999","68001","Y","N","N","Y",""
"78491","PHOENIX","DESERT BASIN PLANT","MQ","DPQ","D","210000","150000","0","150000","N","N","N","Y",""
"78422","SAN JUAN","DJR - CHACO","M2","RPQ","R","30000","20000","0","20000","N","N","N","Y",""
"13269","PANHANDLE","DOM PICKENS EFFIE M","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"12354","CENTRAL","DOMINION GAS/TULE LAKE INTERCONNECT","M2","RPQ","R","10000","5000","0","5000","N","N","N","Y",""
"59927","CENTRAL","DUKE ZIA PLANT","M2","RPQ","R","40000","50000","0","50000","N","N","N","Y",""
"13196","PANHANDLE","EAST SHAFFER #3 (FARM TAP)","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"13199","CENTRAL","EASTERN NEW MEXICO ROOSEVELT","MQ","DPQ","D","10000","10000","419","9581","N","N","N","Y",""
"9164","CENTRAL","EDDY PECOS DIAMOND PROC 12 INCH","MQ","DPQ","D","65000","69000","0","69000","N","N","N","Y",""
"9166","CENTRAL","EDDY PECOS DIAMOND PROC 8 IN","MQ","DPQ","D","30000","30000","0","30000","N","N","N","Y",""
"13260","PANHANDLE","EDNA L SCHULTE","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"500540","SAN JUAN2","EL PASO BLANCO I/C","MQ","DPQ","D","440000","440000","127141","312859","Y","N","N","Y",""
"500179","W. THOREAU","EL PASO WINDOW ROCK","M2","RPQ","R","430000","430000","20263","409737","N","N","N","Y",""
"79064","PANHANDLE","ENBRIDGE TRUNK E","M2","RPQ","R","100000","100000","14000","86000","Y","N","N","Y",""
"57336","PANHANDLE","ENERGAS DEL-GRAY","MQ","DPQ","D","50000","10000","184","9816","Y","N","N","Y",""
"53772","PANHANDLE","ENERGAS INTERCONNECT (STOCKER M M)","MQ","DPQ","D","500","500","2","498","N","N","N","Y",""
"9256","PANHANDLE","ENERGAS/TW  RONNIE MAHONEY","MQ","DPQ","D",,"2","0","2","N","N","N","N","Design Capacity unavailable"
"78423","SAN JUAN","ENTERPRISE CHACO PLANT I/C","M2","RPQ","R","250000","210000","99560","110440","Y","N","N","Y",""
"78093","CENTRAL","ENTERPRISE EDDY","M2","RPQ","R","100000","100000","45900","54100","Y","N","N","Y",""
"79075","WEST TEXAS","ENTERPRISE SOUTH EDDY","M2","RPQ","R","200000","200000","83536","116464","Y","N","N","Y",""
"100703","WEST TEXAS","ENTERPRISE SOUTH EDDY FUEL","MQ","DPQ","D","10000","10000","0","10000","N","N","N","Y",""
"500515","WEST TEXAS","ENTERPRISE WAHA PECOS","MQ","DPQ","D","180000","180000","79601","100399","N","N","N","Y",""
"500515","WEST TEXAS","ENTERPRISE WAHA PECOS","M2","RPQ","R","150000","150000","74185","75815","Y","N","N","Y",""
"56943","WEST TEXAS","ENTERPRISE WARD","MQ","DPQ","D","155000","155000","62162","92838","Y","N","N","Y",""
"79063","WEST TEXAS","EOG PITCHFORK-DELIVERY","MQ","DPQ","D","10000","13500","10000","3500","Y","N","N","Y",""
"500249","WEST TEXAS","EOG PRONGHORN","M2","RPQ","R","50000","50000","0","50000","N","N","N","Y",""
"79072","WEST TEXAS","EOG RATTLESNAKE","MQ","DPQ","D","11720","13000","11000","2000","Y","N","N","Y",""
"100757","WEST TEXAS","EOG Red Hills","MQ","DPQ","D","55000","55000","34000","21000","Y","N","N","Y",""
"78269","WEST TEXAS","ETC BLK #16 FUEL","MQ","DPQ","D","1000","2000","1","1999","Y","N","N","Y",""
"79087","WEST TEXAS","ETC HALLEY","M2","RPQ","R","90000","90000","54957","35043","Y","N","N","Y",""
"100704","PANHANDLE","ETC ISAAC FUEL","MQ","DPQ","D","2000","2000","124","1876","Y","N","N","Y",""
"1190","WEST TEXAS","ETC KEYSTONE WINKLER PLANT","M2","RPQ","R","95000","95000","0","95000","N","N","N","Y",""
"100701","WEST TEXAS","ETC PYOTE FUEL","MQ","DPQ","D","2000","2000","700","1300","Y","N","N","Y",""
"500607","WEST TEXAS","ETC PYOTE STATION  145","MQ","DPQ","D","1000","1000","250","750","Y","N","N","Y",""
"100705","WEST TEXAS","ETC RED HILLS FUEL","MQ","DPQ","D","8000","8000","4919","3081","Y","N","N","Y",""
"9109","WEST TEXAS","ETC WAHA DELIVERY","MQ","DPQ","D","22000","22000","0","22000","N","N","N","Y",""
"9109","WEST TEXAS","ETC WAHA DELIVERY","M2","RPQ","R","30000",,,,"N","N","N","N","Total Scheduled Quantity unavailable;Operating Capacity unavailable;Operationally Available Capacity unavailable"
"500392","WEST TEXAS","ETC WAHA FUEL (COMP 765)","MQ","DPQ","D","270","3000","1","2999","Y","N","N","Y",""
"78358","WEST TEXAS","ETC WALTON FUEL","MQ","DPQ","D","3000","3000","0","3000","N","N","N","Y",""
"13231","PANHANDLE","EZELL-CAFFEY (FARM TAP)","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"78449","CENTRAL","FEAGAN CHAVES","M2","RPQ","R","50000","5000","1000","4000","Y","N","N","Y",""
"500046","W. THOREAU","FLAGSTAFF 89 NORTH","MQ","DPQ","D","20000","20000","0","20000","N","N","N","Y",""
"500134","W. THOREAU","FLAGSTAFF DELIVERY POINT","MQ","DPQ","D","31000","31000","13034","17966","N","N","N","Y",""
"500619","W. THOREAU","FOREST BRANCH","MQ","DPQ","D","250","2500","0","2500","N","N","N","Y",""
"13291","PANHANDLE","FRANK SIMMS","MQ","DPQ","D","3000","3000","0","3000","N","N","N","Y",""
"10552","CENTRAL","FRONTIER MALJAMAR PLANT","M2","RPQ","R","75000","75000","40533","34467","Y","N","N","Y",""
"13242","PANHANDLE","G MCCUISTION FARM TAP","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"100744","WEST TEXAS","GCX WAHA","MQ","DPQ","D","250000","250000","0","250000","N","N","N","Y",""
"13472","PANHANDLE","GEORGE BROWN","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"78495","PHOENIX","GERMANN DELIVERY","MQ","DPQ","D","100000","100000","0","100000","N","N","N","Y",""
"57773","SAN JUAN","GIANT INDUSTRIES I/C DELIVERY","MQ","DPQ","D","3000","3000","0","3000","N","N","N","Y",""
"50895","WEST TEXAS","GILA 4 DEEP COM #1","M2","RPQ","R","17000","17000","0","17000","N","N","N","Y",""
"78480","PHOENIX","GILA RIVER PLANT","MQ","DPQ","D","485000","485000","119062","365938","N","N","N","Y",""
"78489","PHOENIX","GRAND AVENUE DELIVERY","MQ","DPQ","D","35000","43800","7037","36763","N","N","N","Y",""
"78069","W. THOREAU","GRIFFITH ENERGY DEL","MQ","DPQ","D","120000","120000","70134","49866","N","N","N","Y",""
"13315","PANHANDLE","H SIMONS #1","MQ","DPQ","D","3000","3000","24","2976","N","N","N","Y",""
"35350","PANHANDLE","HAGY M.M.","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"13284","PANHANDLE","HAROLD D. BIGGS","MQ","DPQ","D","3000","3000","0","3000","N","N","N","Y",""
"13241","PANHANDLE","HAROLD R STEWART","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"13322","PANHANDLE","HORN MCCLUE","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"58444","PANHANDLE","I.S.I. FARM TAP-PARMER","MQ","DPQ","D","5000","11000","2350","8650","N","N","N","Y",""
"500239","CENTRAL","IACX BITTER LAKES","M2","RPQ","R","60000","59000","7954","51046","N","N","N","Y",""
"500238","CENTRAL","IACX RED BLUFF","M2","RPQ","R","40000","45000","6503","38497","N","N","N","Y",""
"56935","CENTRAL","INTEGRATED SERVICES DP-CHAVES","MQ","DPQ","D","3100","3100","2346","754","N","N","N","Y",""
"79001","WEST TEXAS","INTREPID NORTH","MQ","DPQ","D",,"3800","60","3740","Y","N","N","N","Design Capacity unavailable"
"13268","PANHANDLE","J T ROGERS","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"13274","PANHANDLE","J. D. KELLY","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"13313","PANHANDLE","JACK SLOAN","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"13255","PANHANDLE","JENKINS W. ESTATES","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"13262","PANHANDLE","JOHN LAUAKE","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"79030","WEST TEXAS","JV RANCH","MQ","DPQ","D","100000","100000","0","100000","N","N","N","Y",""
"79030","WEST TEXAS","JV RANCH","M2","RPQ","R","100000","100000","35951","64049","Y","N","N","Y",""
"56659","W. THOREAU","KINGMAN INTERCONNECT","MQ","DPQ","D","18000","30000","0","30000","N","N","N","Y",""
"78386","WEST TEXAS","KM KEYSTONE STORAGE","MQ","DPQ","D","150000","150000","23477","126523","N","N","N","Y",""
"78386","WEST TEXAS","KM KEYSTONE STORAGE","M2","RPQ","R","211000","211000","101047","109953","Y","N","N","Y",""
"500048","PANHANDLE","KOTARA FARMS INC.","MQ","DPQ","D","500","1000","0","1000","N","N","N","Y",""
"13328","PANHANDLE","L LUSK","MQ","DPQ","D","3000","1000","0","1000","N","N","N","Y",""
"59330","PANHANDLE","LAKEVIEW/BARNETT FTP","MQ","DPQ","D","1000","2000","0","2000","N","N","N","Y",""
"13247","PANHANDLE","LAWRENCE MELCHER","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"13250","PANHANDLE","LEON DAUGHERTY","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"13273","PANHANDLE","M. J. NOEL","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"500537","SAN JUAN2","MAPCO FUEL-IGNACIO","MQ","DPQ","D","630","1000","0","1000","N","N","N","Y",""
"78440","WEST TEXAS","MARKWEST LINAM RANCH","MQ","DPQ","D","60000","0","0","0","N","N","N","Y",""
"100737","CENTRAL","MARLAN PLANT","M2","RPQ","R","200000","200000","10000","190000","Y","N","N","Y",""
"100741","CENTRAL","MARLAN PLANT FUEL","MQ","DPQ","D","3000","3000","0","3000","N","N","N","Y",""
"13288","PANHANDLE","MARY E. MCCRAY","MQ","DPQ","D","3000","3000","0","3000","N","N","N","Y",""
"79021","W. THOREAU","MERCATOR MINING","MQ","DPQ","D","20000","0","0","0","N","N","N","Y",""
"79027","PHOENIX","MESQUITE PLANT","MQ","DPQ","D","230000","235000","0","235000","N","N","N","Y",""
"13204","PANHANDLE","MILLS-FLEMING (FARM TAP)","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"56696","W. THOREAU","MOJAVE TOPOCK","MQ","DPQ","D","345000","345000","0","345000","N","N","N","Y",""
"100716","PANHANDLE","NANNETTE GARCIA","MQ","DPQ","D","3000","3000","1","2999","N","N","N","Y",""
"78494","PHOENIX","NEW FLORENCE DELIVERY","MQ","DPQ","D","10000","10000","0","10000","N","N","N","Y",""
"13306","PANHANDLE","NEW MEXICO NAT. GAS CARSON TAP","MQ","DPQ","D","500","5000","7","4993","N","N","N","Y",""
"57538","PANHANDLE","NEW MEXICO NATURAL GAS","MQ","DPQ","D","3000","3000","0","3000","N","N","N","Y",""
"6838","CENTRAL","NGPL EDDY COUNTY","MQ","DPQ","D","100000","0","0","0","N","N","N","Y",""
"500085","CENTRAL","NMG  WINGATE TBS","MQ","DPQ","D","30000","30000","0","30000","N","N","N","Y",""
"500084","CENTRAL","NMG BELEN TBS","MQ","DPQ","D","14000","14000","6934","7066","N","N","N","Y",""
"56422","SAN JUAN","NMG BLOOMFIELD","MQ","DPQ","D","150000","165000","126983","38017","Y","N","N","Y",""
"9238","CENTRAL","NMG CHAVES","MQ","DPQ","D","20000","20000","0","20000","N","N","N","Y",""
"500097","CENTRAL","NMG CITY OF DEXTER DEL.","M2","RPQ","R","11000",,,,"N","N","N","N","Total Scheduled Quantity unavailable;Operating Capacity unavailable;Operationally Available Capacity unavailable"
"500097","CENTRAL","NMG CITY OF DEXTER DEL.","MQ","DPQ","D","30000","30000","0","30000","N","N","N","Y",""
"78421","SAN JUAN","NMG CITY OF FARMINGTON I/C","MQ","DPQ","D","50000","50000","0","50000","N","N","N","Y",""
"9236","PANHANDLE","NMG CURRY COUNTY","MQ","DPQ","D","22000","13000","3310","9690","Y","N","N","Y",""
"79091","PANHANDLE","NMG FARWELL","MQ","DPQ","D","30000","30000","978","29022","N","N","N","Y",""
"79092","WEST TEXAS","NMG MONUMENT","MQ","DPQ","D","30000","30000","17955","12045","N","N","N","Y",""
"79041","SAN JUAN","NMG NAPI I/C","MQ","DPQ","D","1500","1500","0","1500","N","N","N","Y",""
"60921","CENTRAL","NMG RIO PUERCO BI-DIR","MQ","DPQ","D","300000","300000","40040","259960","N","N","N","Y",""
"60921","CENTRAL","NMG RIO PUERCO BI-DIR","M2","RPQ","R","160000","150000","0","150000","N","N","N","Y",""
"58710","CENTRAL","NMG THOMPSON","MQ","DPQ","D","50000","50000","38156","11844","Y","N","N","Y",""
"100746","WEST TEXAS","NMGC Potash","MQ","DPQ","D","5000","5000","450","4550","Y","N","N","Y",""
"12510","PANHANDLE","NMNG/ WILLIE WICK FARMS TAP","MQ","DPQ","D","3000","5000","0","5000","N","N","N","Y",""
"78041","PANHANDLE","NMNG/SHERMAN CO TAP #1","MQ","DPQ","D","5000","20000","0","20000","N","N","N","Y",""
"78042","PANHANDLE","NMNG/SHERMAN CO TAP #2","MQ","DPQ","D","2000","3000","0","3000","N","N","N","Y",""
"78362","PANHANDLE","NMNG/SHERMAN CO TAP #3","MQ","DPQ","D","1000","1000","0","1000","N","N","N","Y",""
"78407","PANHANDLE","NMNG/SHERMAN CO TAP #4","MQ","DPQ","D","5000","5000","0","5000","N","N","N","Y",""
"61334","WEST TEXAS","NNG/TW ESTES WARD","MQ","DPQ","D","50000","55000","48656","6344","N","N","Y","Y",""
"60667","PANHANDLE","NNG/TW GRAY ITE","MQ","DPQ","D","175000","200000","5335","194665","N","N","N","Y",""
"60667","PANHANDLE","NNG/TW GRAY ITE","M2","RPQ","R","200000","150000","0","150000","N","N","N","Y",""
"78451","PANHANDLE","NTG HUTCHINSON","MQ","DPQ","D","1000","1000","0","1000","N","N","N","Y",""
"500383","W. THOREAU","NUCOR STEEL I/C","MQ","DPQ","D","5000","5000","1500","3500","N","N","N","Y",""
"500533","SAN JUAN2","NWPL LA PLATA I/C","MQ","DPQ","D","40000","5000","0","5000","N","N","N","Y",""
"500533","SAN JUAN2","NWPL LA PLATA I/C","M2","RPQ","R","300000","300000","0","300000","N","N","N","Y",""
"8516","WEST TEXAS","OASIS BLOCK 16 - DEL","MQ","DPQ","D","150000","150000","0","150000","N","N","N","Y",""
"500128","PANHANDLE","OLSON TAP","MQ","DPQ","D","1000","3000","0","3000","N","N","N","Y",""
"12353","PANHANDLE","ONEOK CARSON","MQ","DPQ","D","50000","60000","0","60000","N","N","N","Y",""
"500168","WEST TEXAS","ONEOK WARD","MQ","DPQ","D","200000","200000","19700","180300","N","N","N","Y",""
"500168","WEST TEXAS","ONEOK WARD","M2","RPQ","R","200000","0","0","0","N","N","N","Y",""
"8042","PANHANDLE","PEPL HANSFORD CACTUS","MQ","DPQ","D","80000","80000","55178","24822","N","N","N","Y",""
"13267","PANHANDLE","PETE FISHBACHER","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"56698","W. THOREAU","PG&E TOPOCK","M2","RPQ","R","50000",,,,"N","N","N","N","Total Scheduled Quantity unavailable;Operating Capacity unavailable;Operationally Available Capacity unavailable"
"56698","W. THOREAU","PG&E TOPOCK","MQ","DPQ","D","375000","380000","116534","263466","N","N","N","Y",""
"13266","PANHANDLE","PHILLIP JENKINS","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"100747","WEST TEXAS","PHP TW Waha","MQ","DPQ","D","25000","25000","20000","5000","N","N","N","Y",""
"13194","PANHANDLE","PLAINS GAS (SALE)","MQ","DPQ","D","3000","3000","0","3000","N","N","N","Y",""
"79065","CENTRAL","PNM LA LUZ","MQ","DPQ","D","25000","25000","2467","22533","N","N","N","Y",""
"79088","PANHANDLE","POTTER VALLEY FARMS","MQ","DPQ","D","1000","1000","0","1000","N","N","N","Y",""
"78482","PHOENIX","PRESCOTT VALLEY NORTH DELIVERY","MQ","DPQ","D","15000","15000","0","15000","N","N","N","Y",""
"78483","PHOENIX","PRESCOTT VALLEY SOUTH DELIVERY","MQ","DPQ","D","35000","35000","0","35000","N","N","N","Y",""
"79043","PANHANDLE","PRINGLE TAP","MQ","DPQ","D","3000","3000","0","3000","N","N","N","Y",""
"78342","SAN JUAN2","QUESTAR BLOOMFIELD I/C","MQ","DPQ","D","120000","120000","600","119400","Y","N","N","Y",""
"13325","PANHANDLE","R A BURRUS","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"78490","PHOENIX","RAINBOW VALLEY DELIVERY","MQ","DPQ","D","35000","35000","5084","29916","N","N","N","Y",""
"28924","PANHANDLE","RANDALL DEL AMARILLO TW","MQ","DPQ","D","1500","2800","0","2800","N","N","N","Y",""
"13249","PANHANDLE","RAYMOND BIGGS","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"500538","SAN JUAN2","RED CEDAR ARKANSAS LOOP","M2","RPQ","R","350000","350000","85289","264711","Y","N","N","Y",""
"78121","SAN JUAN2","RED CEDAR LAPLATA REC","M2","RPQ","R","50000","50000","10000","40000","N","N","N","Y",""
"78484","PHOENIX","RED HAWK PLANT","MQ","DPQ","D","500000","500000","26450","473550","N","N","N","Y",""
"79051","WEST TEXAS","REGENCY KEYSTONE FUEL TAP","MQ","DPQ","D","2000","5000","0","5000","N","N","N","Y",""
"13320","PANHANDLE","ROCKWELL ACRES","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"78398","W. THOREAU","ROPER #2 TAP","MQ","DPQ","D","20","500","0","500","N","N","N","Y",""
"500528","W. THOREAU","ROPER FARM TAP","MQ","DPQ","D","500","100","0","100","N","N","N","Y",""
"13198","W. THOREAU","S.W. GAS-WILLOW VALLEY SALES","MQ","DPQ","D","1000","3000","0","3000","N","N","N","Y",""
"78493","PHOENIX","SANTAN LATERAL I/C","MQ","DPQ","D","203500","203500","0","203500","N","N","N","Y",""
"78496","PHOENIX","SANTAN PLANT","MQ","DPQ","D","144084","203000","64361","138639","N","N","N","Y",""
"100719","WEST TEXAS","SENDERO CRAWFORD","M2","RPQ","R","110000","110000","18000","92000","Y","N","N","Y",""
"500086","W. THOREAU","SNOWBOWL TAP","MQ","DPQ","D","100","1000","0","1000","N","N","N","Y",""
"10487","W. THOREAU","SOCAL NEEDLES","M2","RPQ","R","100000",,,,"N","N","N","N","Total Scheduled Quantity unavailable;Operating Capacity unavailable;Operationally Available Capacity unavailable"
"10487","W. THOREAU","SOCAL NEEDLES","MQ","DPQ","D","850000","850000","382764","467236","Y","N","N","Y",""
"56697","W. THOREAU","SOCAL TOPOCK","MQ","DPQ","D","300000","300000","0","300000","N","N","N","Y",""
"13208","PANHANDLE","SOUTH POMERTON HILL (FARM TAP)","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"13197","PANHANDLE","SOUTH SHAFFER #4 (FARM TAP)","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"10594","PANHANDLE","SOUTHERN STAR-CANADIAN RIVER","MQ","DPQ","D","150000","150000","25001","124999","Y","N","N","Y",""
"10594","PANHANDLE","SOUTHERN STAR-CANADIAN RIVER","M2","RPQ","R","150000","175000","21754","153246","Y","N","N","Y",""
"78403","PANHANDLE","SOUTHWEST CHEESE I/C","MQ","DPQ","D","5000","5000","2500","2500","N","N","N","Y",""
"13253","PANHANDLE","SPUR RANCH FARM TAP","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"78509","PANHANDLE","SPURLOCK #1","MQ","DPQ","D","3500","5000","14","4986","N","N","N","Y",""
"79040","PHOENIX","SRP MESQUITE","MQ","DPQ","D","125000","125000","0","125000","N","N","N","Y",""
"54005","WEST TEXAS","STATE 20 #1","M2","RPQ","R","9500","9500","0","9500","N","N","N","Y",""
"78392","PANHANDLE","STOVALL # 4 FTP","MQ","DPQ","D","3000","5000","0","5000","N","N","N","Y",""
"500390","PANHANDLE","SUM WTG DELIVERY PT. T","MQ","DPQ","D","7000","2000","0","2000","N","N","N","Y",""
"500648","WEST TEXAS","SUM WTG NEW MEX DEL FTPS","MQ","DPQ","D","6000","1000","0","1000","N","N","N","Y",""
"13201","PANHANDLE","SUMMERFIELD (FARM TAP)","MQ","DPQ","D","3000","3000","0","3000","N","N","N","Y",""
"78481","PHOENIX","SUN VALLEY SOUTH DELIVERY","MQ","DPQ","D","35000","35000","880","34120","N","N","N","Y",""
